listing_id,date
2384,10/13/19
2384,10/23/19
2384,10/25/19
2384,11/10/19
2384,11/13/19
2384,12/1/19
2384,12/15/19
2384,9/25/20
2384,10/3/20
2384,10/29/20
4505,10/13/19
4505,10/21/19
4505,10/29/19
4505,11/3/19
4505,11/10/19
4505,12/25/19
4505,12/29/19
4505,1/1/20
4505,2/16/20
4505,7/14/20
7126,10/6/19
7126,10/14/19
7126,10/17/19
7126,10/21/19
7126,10/25/19
7126,10/28/19
7126,11/4/19
7126,11/10/19
7126,11/18/19
7126,11/23/19
7126,1/2/20
7126,1/5/20
7126,1/20/20
7126,2/3/20
7126,2/9/20
7126,2/16/20
7126,2/19/20
7126,2/23/20
7126,2/26/20
7126,3/1/20
7126,3/8/20
7126,9/14/20
7126,11/4/20
7126,11/16/20
9811,10/1/19
9811,10/6/19
9811,10/15/19
9811,10/19/19
9811,10/23/19
9811,9/8/20
9811,9/13/20
9811,9/29/20
9811,11/30/20
10610,10/2/19
10610,10/28/19
10610,2/14/20
10610,9/15/20
10945,10/24/19
10945,10/28/19
10945,3/14/20
10945,7/18/20
10945,8/6/20
10945,9/12/20
10945,11/21/20
25879,12/20/19
25879,3/2/20
25879,5/11/20
28749,5/15/20
28749,5/18/20
28749,6/4/20
28749,7/6/20
28749,7/13/20
28749,7/20/20
28749,7/23/20
28749,8/2/20
28749,8/17/20
28749,8/23/20
28749,8/30/20
28749,9/3/20
28749,9/7/20
28749,10/12/20
28749,11/5/20
28749,11/8/20
28749,11/12/20
28749,11/28/20
28749,12/6/20
28749,12/10/20
28749,12/12/20
28749,12/17/20
37738,10/14/19
37738,11/26/19
37738,12/26/19
37738,1/22/20
37738,2/16/20
37738,3/15/20
71930,10/14/19
71930,10/20/19
71930,10/25/19
71930,10/28/19
71930,11/13/19
71930,3/15/20
71930,3/31/20
71930,4/30/20
71930,6/21/20
71930,7/9/20
79101,10/13/19
79101,2/16/20
79101,7/5/20
84042,10/6/19
84042,10/16/19
84042,10/23/19
84042,11/3/19
84042,11/10/19
84042,11/30/19
84042,2/18/20
84042,3/11/20
84042,3/27/20
84042,4/30/20
84042,7/31/20
84042,8/20/20
84042,9/20/20
110705,10/12/19
110705,10/14/19
110705,10/27/19
110705,11/11/19
110705,11/24/19
110705,12/15/19
110705,2/16/20
110705,3/8/20
110705,7/19/20
110705,9/26/20
126280,10/15/19
126280,10/24/19
126280,11/5/19
126280,11/10/19
126280,12/2/19
126280,12/7/19
126280,12/27/19
126280,1/1/20
126280,2/14/20
126280,2/17/20
126280,3/8/20
145659,10/15/19
145659,10/20/19
145659,1/12/20
145659,2/9/20
145659,2/15/20
145659,2/23/20
145659,3/1/20
145659,7/5/20
145659,7/12/20
145659,8/9/20
145659,8/16/20
145659,8/23/20
145659,9/7/20
145659,9/20/20
145659,10/18/20
145659,11/22/20
145690,10/14/19
145690,12/29/19
145690,1/14/20
145690,2/23/20
145690,6/28/20
145690,7/12/20
145690,7/19/20
145690,7/26/20
145690,8/10/20
145690,8/15/20
145690,8/31/20
145690,9/5/20
145690,9/7/20
145690,9/13/20
145690,10/11/20
145690,11/15/20
165952,10/14/19
165952,10/21/19
166667,10/19/19
175511,10/14/19
175511,10/24/19
175511,11/8/19
175511,12/16/19
189821,10/6/19
189821,10/9/19
189821,10/14/19
189821,10/24/19
189821,11/3/19
189821,11/18/19
189821,11/30/19
189821,12/4/19
189821,12/8/19
189821,12/15/19
189821,12/30/19
189821,1/13/20
189821,1/19/20
189821,1/27/20
189821,2/5/20
189821,2/14/20
189821,2/21/20
189821,2/25/20
189821,3/6/20
189821,3/8/20
189821,3/10/20
189821,3/15/20
189821,3/17/20
189821,3/25/20
189821,4/18/20
189821,5/2/20
189821,5/16/20
189821,5/17/20
189821,6/17/20
189821,6/22/20
189821,6/28/20
189821,7/2/20
189821,7/8/20
189821,7/16/20
189821,7/19/20
189821,7/26/20
189821,8/3/20
189821,8/6/20
189821,8/9/20
189821,8/13/20
189821,8/30/20
189821,9/5/20
189821,9/12/20
189821,9/18/20
189821,9/27/20
189821,10/16/20
189821,10/18/20
189821,10/21/20
189821,10/26/20
189821,10/28/20
189821,11/1/20
189821,11/15/20
189821,11/21/20
189821,11/28/20
189821,12/6/20
198135,10/4/19
198135,10/29/19
198135,11/6/19
198135,11/12/19
198135,12/19/19
198135,1/1/20
198135,6/27/20
198135,8/17/20
198135,8/29/20
198135,10/4/20
198135,10/28/20
198135,11/27/20
207218,10/8/19
207218,10/12/19
207218,10/14/19
207218,10/20/19
207218,11/3/19
207218,12/9/19
207218,1/1/20
207218,2/16/20
207218,4/11/20
207218,12/7/20
248791,10/14/19
248791,2/19/20
258253,4/1/20
258253,10/11/20
267646,10/6/19
267646,10/13/19
267646,10/20/19
289689,12/22/19
289689,3/20/20
289884,10/18/19
289884,10/20/19
289884,10/28/19
290155,10/19/19
290155,10/29/19
290155,2/17/20
290155,3/17/20
312192,10/28/19
312192,11/10/19
312192,2/23/20
312192,3/15/20
345075,10/6/19
345075,10/10/19
345075,10/15/19
345075,10/23/19
345075,10/27/19
345075,10/29/19
350347,10/6/19
350347,10/11/19
350347,10/14/19
350347,10/17/19
350347,10/20/19
350347,10/24/19
350347,10/27/19
350347,11/8/19
350347,11/11/19
350347,11/15/19
350347,11/30/19
350347,12/8/19
350347,12/13/19
350347,12/16/19
350347,12/21/19
350347,12/26/19
350347,12/30/19
350347,1/4/20
350347,1/6/20
350347,1/12/20
350347,1/14/20
350347,1/27/20
350347,2/1/20
350347,2/9/20
350347,2/17/20
350347,3/8/20
350347,3/14/20
350347,3/28/20
350347,6/27/20
350347,6/29/20
350347,7/6/20
350347,7/12/20
350347,7/14/20
350347,7/20/20
350347,7/28/20
350347,7/30/20
350347,8/3/20
350347,8/6/20
350347,8/9/20
350347,8/12/20
350347,8/16/20
350347,8/20/20
350347,8/24/20
350347,9/3/20
350347,9/6/20
350347,9/19/20
350347,9/27/20
350347,9/30/20
350347,10/5/20
350347,10/8/20
350347,10/11/20
350347,10/15/20
350347,10/18/20
350347,10/21/20
350347,10/25/20
350347,10/29/20
350347,11/1/20
350347,11/5/20
350347,11/9/20
350347,11/13/20
350347,11/15/20
350347,11/18/20
350347,11/20/20
350347,11/22/20
350347,11/24/20
350347,11/28/20
350347,12/1/20
350347,12/6/20
350347,12/9/20
350347,12/11/20
372929,10/7/19
372929,11/3/19
372929,11/12/19
372929,12/8/19
372929,12/30/19
372929,2/8/20
372929,2/23/20
372929,7/19/20
372929,7/26/20
372929,8/8/20
372929,10/11/20
372929,11/28/20
404792,10/7/19
404792,10/15/19
404792,10/27/19
404792,11/11/19
404792,6/29/20
404792,8/8/20
464581,10/2/19
464581,10/6/19
464581,10/11/19
464581,10/13/19
464581,10/15/19
464581,10/20/19
464581,10/21/19
464581,10/25/19
464581,10/28/19
464581,11/3/19
464581,11/5/19
464581,11/11/19
464581,11/15/19
464581,11/21/19
464581,11/25/19
464581,11/27/19
464581,12/1/19
464581,12/7/19
464581,12/14/19
464581,12/28/19
464581,1/4/20
464581,1/7/20
464581,1/10/20
464581,1/12/20
464581,1/14/20
464581,1/18/20
464581,1/26/20
464581,2/2/20
464581,2/4/20
464581,2/8/20
464581,2/12/20
464581,2/15/20
464581,2/16/20
464581,2/21/20
464581,2/23/20
464581,3/1/20
464581,3/4/20
464581,3/10/20
464581,3/14/20
464581,3/16/20
464581,5/14/20
464581,6/15/20
464581,8/1/20
464581,9/1/20
464581,9/5/20
464581,9/7/20
464581,9/17/20
464581,9/21/20
464581,9/24/20
464581,9/28/20
464581,10/2/20
464581,10/13/20
464581,10/17/20
464581,10/28/20
464581,11/6/20
464581,11/9/20
464581,11/15/20
464581,11/20/20
464581,12/9/20
507517,10/7/19
507517,10/13/19
507517,10/15/19
507517,10/21/19
507517,10/28/19
507517,11/12/19
507517,11/16/19
507517,12/2/19
507517,12/28/19
507517,1/2/20
507517,8/15/20
507517,8/31/20
507517,9/8/20
507517,9/28/20
507517,10/11/20
507517,11/2/20
542067,10/1/19
542067,10/14/19
542067,10/28/19
542067,12/29/19
548905,10/23/19
548905,2/9/20
584590,10/6/20
585353,10/6/19
585353,10/13/19
585353,10/19/19
585353,1/20/20
585356,10/16/19
585356,10/21/19
585356,1/2/20
585356,1/27/20
585356,3/8/20
589939,10/15/19
589939,1/1/20
589939,2/17/20
611839,10/9/19
611839,10/15/19
611839,10/22/19
611839,11/29/19
611839,12/2/19
611839,12/8/19
611839,12/30/19
611839,2/16/20
611839,3/1/20
611839,4/30/20
628149,10/12/19
628149,10/13/19
628149,10/18/19
628149,9/1/20
634310,2/17/20
634310,7/31/20
634310,11/21/20
640841,10/14/19
640841,10/20/19
640841,11/11/19
640841,12/3/19
640841,12/8/19
640841,12/28/19
640841,1/3/20
640841,2/16/20
640841,6/14/20
640841,6/21/20
640841,7/13/20
640841,8/8/20
640841,8/16/20
